I,date,IXIC.Close,BAM
1339,4/29/2015,5023.640137,4.53
1340,4/30/2015,4941.419922,4.59
1341,5/1/2015,5005.390137,4.53
1342,5/4/2015,5016.930176,4.51
1343,5/5/2015,4939.330078,4.48
1344,5/6/2015,4919.640137,4.5
1345,5/7/2015,4945.540039,4.55
1346,5/8/2015,5003.549805,4.53
1347,5/11/2015,4993.569824,4.45
1348,5/12/2015,4976.189941,4.56
1349,5/13/2015,4981.689941,4.51
1350,5/14/2015,5050.799805,4.52
1351,5/15/2015,5048.290039,4.55
1352,5/18/2015,5078.439941,4.49
1353,5/19/2015,5070.029785,4.46
1354,5/20/2015,5071.740234,4.49
1355,5/21/2015,5090.790039,4.51
1356,5/22/2015,5089.359863,4.47
1357,5/26/2015,5032.75,4.51
1358,5/27/2015,5106.589844,4.48
1359,5/28/2015,5097.97998,4.5
1360,5/29/2015,5070.029785,4.52
1361,6/1/2015,5082.930176,4.52
1362,6/2/2015,5076.52002,4.49
1363,6/3/2015,5099.22998,4.46
1364,6/4/2015,5059.120117,4.56
1365,6/5/2015,5068.459961,4.56
1366,6/8/2015,5021.629883,4.61
1367,6/9/2015,5013.870117,4.66
1368,6/10/2015,5076.689941,4.6
1369,6/11/2015,5082.509766,4.62
1370,6/12/2015,5051.100098,4.63
1371,6/15/2015,5029.970215,4.71
1372,6/16/2015,5055.549805,4.77
1373,6/17/2015,5064.879883,4.76
1374,6/18/2015,5132.950195,4.71
1375,6/19/2015,5117,4.73
1376,6/22/2015,5153.970215,4.62
1377,6/23/2015,5160.089844,4.62
1378,6/24/2015,5122.410156,4.66
1379,6/25/2015,5112.189941,4.67
1380,6/26/2015,5080.509766,4.65
1381,6/29/2015,4958.470215,4.91
1382,6/30/2015,4986.870117,5
1383,7/1/2015,5013.120117,4.88
1384,7/2/2015,5009.209961,4.91
1385,7/6/2015,4991.939941,5.07
1386,7/7/2015,4997.459961,5.13
1387,7/8/2015,4909.759766,5.21
1388,7/9/2015,4922.399902,5.11
1389,7/10/2015,4997.700195,4.97
1390,7/13/2015,5071.509766,4.93
1391,7/14/2015,5104.890137,4.94
1392,7/15/2015,5098.939941,4.93
1393,7/16/2015,5163.180176,4.91
1394,7/17/2015,5210.140137,4.95
1395,7/20/2015,5218.859863,4.96
1396,7/21/2015,5208.120117,5.06
1397,7/22/2015,5171.77002,5.16
1398,7/23/2015,5146.410156,5.21
1399,7/24/2015,5088.629883,5.32
1400,7/27/2015,5039.779785,5.49
1401,7/28/2015,5089.209961,5.44
1402,7/29/2015,5111.72998,5.33
1403,7/30/2015,5128.779785,5.26
1404,7/31/2015,5128.279785,5.36
1405,8/3/2015,5115.379883,5.45
1406,8/4/2015,5105.549805,5.41
1407,8/5/2015,5139.939941,5.29
1408,8/6/2015,5056.439941,5.4
1409,8/7/2015,5043.540039,5.52
1410,8/10/2015,5101.799805,5.51
1411,8/11/2015,5036.790039,5.67
1412,8/12/2015,5044.390137,5.79
1413,8/13/2015,5033.560059,5.66
1414,8/14/2015,5048.240234,5.52
1415,8/17/2015,5091.700195,5.58
1416,8/18/2015,5059.350098,5.56
1417,8/19/2015,5019.049805,5.68
1418,8/20/2015,4877.490234,5.75
1419,8/21/2015,4706.040039,5.86
1420,8/24/2015,4526.25,6.14
1421,8/25/2015,4506.490234,5.9
1422,8/26/2015,4697.540039,5.91
1423,8/27/2015,4812.709961,5.8
1424,8/28/2015,4828.319824,5.72
1425,8/31/2015,4776.509766,5.7
1426,9/1/2015,4636.100098,5.78
1427,9/2/2015,4749.97998,5.73
1428,9/3/2015,4733.5,5.7
1429,9/4/2015,4683.919922,5.74
1430,9/8/2015,4811.930176,5.64
1431,9/9/2015,4756.529785,5.59
1432,9/10/2015,4796.25,5.58
1433,9/11/2015,4822.339844,5.62
